U_S_R_I,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
85_157,"0","8956","0","26672","1494","39","6","83611","140186","941397","18311","452317","45702","81667","934","12499","2454"
85_007,"0","5896","0","40570","3951","188","48","36386","72698","699552","13714","645933","62020","210409","2528","17999","4521"
85_156,"0","2543","0","39491","2804","174","0","7262","751908","574280","49954","353357","2963","21481","816","7924","1122"
85_304,"0","65","0","3760","4965","2518","268","375028","192","21499","3","926708","480531","0","0","5","875"
85_005,"0","5275","0","8640","8140","806","697","199044","16123","133527","955","684780","669126","18411","13147","4269","53300"
85_206,"0","26456","0","46822","4652","1004","70","142","934494","327427","48537","381759","5226","25324","5521","7245","1564"
85_004,"0","745","0","3257","548","24","0","490351","0","20844","0","1239022","38162","1829","183","174","21116"
85_307,"0","185","0","31930","2105","98","12","3781","309974","600223","14703","784809","14536","42600","1220","8666","1571"
85_108,"0","26049","0","20103","7686","1808","613","191901","36","41507","0","1031851","396556","23628","44017","19970","10519"
85_105,"0","202111","0","19834","17269","12987","3041","2869","26331","138758","402","839887","310334","18425","210615","2292","11259"
85_104,"0","0","0","4637","1196","10","0","262667","142","125493","281","1359294","44121","15644","615","300","1846"
85_155,"0","180","0","10099","4814","835","130","1519","6790","217363","691","1058124","493290","8888","11908","1019","593"
85_006,"0","63983","0","31910","3255","292","36","131","750412","432176","18209","490801","21016","26","0","3163","833"
85_159,"0","3754","0","6044","1727","323","7","704981","0","10424","0","1044190","18528","11","0","72","26353"
85_113,"0","2678","0","8474","4005","1309","284","34192","49","327697","8","1363978","62427","459","37","9046","1781"
85_013,"0","662","0","2485","2412","1273","234","68711","39","118986","0","1529439","83305","2614","905","4253","926"
85_011,"0","2849","0","32597","17509","6028","1543","8380","227197","296800","6857","745321","233974","42122","158545","4326","32028"
85_310,"0","719","0","8460","3614","961","50","6089","5262","170282","3087","935595","668258","2903","9594","1048","488"
85_109,"0","0","0","6160","1456","286","4","143453","0","27714","0","1618223","18058","11","0","0","709"
85_034,"0","11300","0","45714","4450","434","15","185","611667","464795","30220","460446","136309","22780","22651","3653","1624"
85_163,"0","10618","0","1316","446","256","48","69810","55","299767","0","1353044","62090","3878","2267","9609","3044"
85_160,"0","9100","0","15800","8499","1745","74","4031","18438","261762","2043","869776","512182","10666","90794","4197","7304"
85_312,"0","1585","0","28451","15397","5710","359","49181","76","109146","0","1467146","18313","49686","58310","9350","3702"
85_012,"0","1623","0","24077","13050","5351","331","50783","93","174973","15","1413933","33993","36335","48632","10199","3027"
85_110,"0","8441","0","13522","19366","5059","612","141913","0","26","0","1193922","203884","14934","202264","4431","8038"
85_010,"0","5858","0","11609","8170","2129","341","11231","13317","140886","1564","922361","621667","8187","63239","2509","3173"
85_311,"0","6094","0","39558","5173","637","65","3092","253730","651023","85314","657892","49601","18520","40915","2865","1762"
85_161,"0","8006","0","37955","9934","2125","162","9069","125580","538516","19822","645981","169947","72148","119570","37758","19669"
85_309,"0","111","0","4948","1120","9","0","58918","12","71208","0","1626256","38467","11693","2428","190","881"
85_162,"0","2543","0","4614","1607","165","1","88041","54","104505","0","1508077","43841","28893","24343","6340","3388"
85_009,"0","397","0","8222","2255","513","13","179434","52","136587","92","1405419","81719","20","0","31","1662"
85_112,"0","3393","0","7193","4241","1329","22","86634","54","102712","0","1482846","42509","40722","33326","7360","3902"
85_313,"0","5977","0","7559","4908","1140","16","4350","10648","329815","0","1354640","55180","1144","22378","17402","1246"
85_114,"0","957","0","10039","1187","75","0","30509","0","43257","0","1637294","78626","5933","7930","149","457"
85_905,"0","9311","0","8716","6219","3191","502","19248","42","44266","0","1657095","46081","4920","3266","9070","4146"
85_165,"0","1034","0","37045","18670","8584","847","3577","117593","750886","32854","589228","103053","31057","119242","1675","728"
85_314,"0","0","0","7347","639","89","10","184040","0","49088","0","1521370","52630","0","0","2","1026"
85_317,"0","5867","0","7048","3297","1779","164","245799","147","9549","0","1501531","20919","1846","799","16943","552"
85_166,"0","5281","0","27384","5165","451","4","2075","341622","735289","71736","606770","12350","2103","2550","3153","308"
85_167,"0","143","0","7375","220","43","3","43300","8","587","0","1756763","4213","133","3","3550","70"
85_118,"0","20236","0","4581","1287","203","34","29049","26","25291","0","1692901","26231","1052","17","8031","7470"
85_014,"0","0","0","6806","1019","132","5","94199","58","213942","45","1406510","92396","198","928","0","175"
85_218,"0","14813","0","13142","8448","3215","508","13870","19147","183060","12","1503321","24385","6712","6184","14101","5160"
85_315,"0","22","0","12469","8786","3704","113","1541","23483","243127","3198","603380","909849","922","5683","37","100"
85_016,"0","676","0","8334","2401","224","1","153360","17872","306732","12369","1278500","28522","4684","1414","982","341"
85_168,"0","1269","0","7362","2654","164","5","11348","330504","820364","27498","538426","54484","8491","7848","5156","846"
85_912,"0","28484","0","1949","342","5","1","31578","222","43933","0","1645687","41313","1436","77","13491","7721"
85_115,"0","11945","0","30498","15998","3347","94","1103","79065","561967","60738","996268","15439","12399","23146","3458","943"
85_316,"0","10573","0","22133","15627","3454","62","4979","42383","349311","30804","1256245","10765","9615","47995","11168","1305"
85_117,"0","1176","0","1641","44","0","0","84108","175","39505","0","1678382","6550","107","30","3838","684"
85_015,"0","940","0","26023","8641","5385","307","25715","55578","866997","91269","629000","40531","28521","36579","338","586"
85_318,"0","9699","0","3459","1520","84","0","9090","521","148585","0","1557192","70691","1838","2100","9013","2617"
85_017,"0","214","0","4606","805","165","7","271398","6225","147990","1471","1350326","15558","1184","1994","13009","1455"
85_164,"0","0","0","5042","1502","182","0","182","241","802894","431","984461","21049","2","0","118","146"
85_116,"0","453","0","5871","1110","239","3","157603","26201","319377","4342","1286165","5400","3406","2622","3099","525"
85_323,"0","658","0","20912","6151","252","0","226","110217","519633","20247","818504","12069","11654","284592","10775","524"
85_021,"0","447","0","7933","1646","143","0","61205","102566","319670","25794","1263510","12607","9521","3406","5286","2682"
85_119,"0","1","0","12502","2081","963","50","11650","12","499879","484","1216407","24169","14000","33542","79","427"
85_121,"0","1455","0","15363","4032","209","0","29138","47752","946595","95053","635975","18609","10115","8590","2951","577"
85_170,"0","786","0","21005","5667","2569","92","27856","7934","786572","5961","916873","24707","4017","8954","2612","640"
85_908,"0","785","0","18967","4835","1377","61","29681","16919","762853","8758","936811","18457","4701","8939","2711","557"
85_022,"0","53357","0","3855","589","36","0","173276","561","193704","0","1369174","15690","0","32","5318","645"
85_019,"0","292","1","30270","24330","13474","3409","10689","4861","457291","77","1055464","139950","18302","55071","115","2648"
85_122,"0","30915","0","5804","344","42","0","290849","36","22947","0","1435575","27435","166","0","1743","552"
85_322,"0","73758","0","5939","468","69","0","428721","1039","56991","48","1218469","28218","144","0","1947","593"
85_321,"0","608","0","6987","2423","120","0","63886","173","226731","0","1480470","10206","10268","6912","4634","2823"
85_173,"0","891","0","19868","6302","450","1","1118","132","569957","33","1053496","8641","2845","131715","20134","829"
85_020,"0","2043","0","30468","3966","634","36","8878","264118","990320","131840","354800","24319","61","221","3592","944"
85_123,"0","1860","0","20544","4781","458","1","4207","25","350589","0","1392148","7799","1616","15423","16003","960"
85_172,"0","50562","0","3615","119","1","0","565397","114","8741","0","1101602","70615","0","0","14709","761"
85_319,"0","600","0","15827","1964","470","71","1653","16171","1056721","9544","629080","56328","16559","7355","2753","1154"
85_320,"0","700","0","26725","3689","556","21","6333","134312","1064234","48219","498876","24745","1721","3473","2129","681"
85_023,"0","4304","0","16057","4085","357","30","28474","0","1598","0","1690814","32748","126","409","35250","2161"
85_171,"0","83018","0","3826","1021","210","0","124108","0","2755","0","1563261","36562","0","0","1343","310"
85_169,"0","730","0","18477","9295","3100","373","5656","38","159343","222","1153331","456298","705","1927","5155","1763"
85_120,"0","1010","0","11850","5301","1271","130","20094","2545","475870","92","1277997","7869","3252","4092","4080","957"
87_019,"0","105926","0","55490","41832","14915","3703","1633","602819","165864","237872","10072","6634","354462","94966","98181","21875"
87_023,"0","667806","0","70696","63905","33025","12062","3175","258386","104811","86298","5193","9236","255699","88518","136792","20813"
87_017,"0","23243","0","56604","22762","5489","921","3976","607133","271893","440175","27835","19803","217072","18800","90637","10071"
87_018,"0","25637","0","61757","20577","5161","1350","1902","585553","299472","484901","26950","16435","182368","11623","84022","8706"
87_120,"0","14736","0","57064","21581","6015","1470","1382","781232","234173","440053","19867","15088","152973","12963","48982","8836"
87_012,"0","16330","0","56985","21639","9011","1989","1929","699544","245580","493483","59493","19223","102559","7139","77381","3959"
87_022,"0","285893","0","81568","58877","35979","13418","2691","572382","125308","235631","6314","7557","279858","21858","64469","24607"
87_011,"0","36428","0","72038","30774","14106","3565","3324","506497","285490","563950","51671","19880","144353","7716","69644","6813"
